# Author: shoui520 & Thermospore
# Null means you should just remove it
# Any svg gaiji in headwords should be changed to �
# reference: https://glyphwiki.org/
# reference: https://en.wikipedia.org/wiki/Mathematical_Alphanumeric_Symbols
AC6E.svg	gaiji/AC6E.svg
A428.svg	🈔
A434.svg	〻
AF4A.svg	gaiji/AF4A.svg
B731.svg	？
B074.svg	𧓈
5676.svg	噶
A438.svg	𣑥
F07A.svg	菟
B463.svg	驓
A157.svg	‘
E16E.svg	楫
B45B.svg	gaiji/B45B.svg
B04C.svg	䲑
B45C.svg	⻗
B346.svg	gaiji/B346.svg
B14D.svg	𩺊
E532.svg	𝄵
B131.svg	gaiji/B131.svg
AF7C.svg	gaiji/AF7C.svg
B645.svg	羕
B62B.svg	gaiji/B62B.svg
A744.svg	𩊱
A53D.svg	𦯶
A427.svg	🈩
B530.svg	…
E3F8.svg	gaiji/E3F8.svg
E189.svg	瓊
B025.svg	gaiji/B025.svg
B64A.svg	𩷏
B652.svg	𦬸
E1E3.svg	諱
B24B.svg	gaiji/B24B.svg
B171.svg	𪀚
E538.svg	＞
E537.svg	＜
B565.svg	gaiji/B565.svg
B55B.svg	gaiji/B55B.svg
A952.svg	𨫤
B135.svg	蛿
E6C1.svg	𤋅
B44B.svg	𨷂
B24C.svg	𨳯
B064.svg	䩠
DD50.svg	襅
B05D.svg	藛
B15F.svg	gaiji/B160.svg
B160.svg	℥
B922.svg	{i}
B923.svg	{ii}
B561.svg	𝑨
B562.svg	𝑩
A337.svg	gaiji/A337.svg
B339.svg	gaiji/B339.svg
B338.svg	gaiji/B338.svg
E21C.svg	馭
AC44.svg	▬
AB7B.svg	╍
B17B.svg	蒁
AD64.svg	gaiji/AD64.svg
719C.svg	熜
A849.svg	𤸎
E050.svg	葛
B13D.svg	gaiji/B13D.svg
B523.svg	gaiji/B523.svg
B45E.svg	䱅
AB78.svg	𠺕
AF46.svg	gaiji/AF46.svg
B47B.svg	𩜁
AB29.svg	𨏍
A632.svg	𦨞
8B4A.svg	譊
A973.svg	𡑮
AF52.svg	书
DD52.svg	电
AF51.svg	远
E213.svg	韋
AC2C.svg	𧏛
B221.svg	𣑊
E1E7.svg	謫
DD53.svg	gaiji/DD53.svg
AC32.svg	gaiji/AC32.svg
B44A.svg	𨗈
B050.svg	蔥
E565.svg	<sup>＊</sup>
B635.svg	穨
DC5C.svg	㋐
AB70.svg	㋑
DC5E.svg	㋒
E539.svg	°
E412.svg	　
AE7B.svg	䡇
AA27.svg	筟
A971.svg	▯
AD58.svg	堗
B26D.svg	𣜌
A330.svg	∘
DC5D.svg	㋓
AF56.svg	⺕
B821.svg	gaiji/B821.svg
AD6A.svg	gaiji/AD6A.svg
E1AF.svg	縵
B567.svg	gaiji/B567.svg
B87E.svg	ﬁ
B449.svg	狦
E1F5.svg	躬
E534.svg	⛤
AD47.svg	gaiji/AD47.svg
B345.svg	髡
DD54.svg	エ゙
AE59.svg	gaiji/AE59.svg
B477.svg	殑
B64C.svg	蜢
AD49.svg	䚹
B34D.svg	gaiji/B34D.svg
A937.svg	𦬇
E077.svg	gaiji/E077.svg
B045.svg	䥫
B46E.svg	gaiji/B46E.svg
AB27.svg	𤯝
AC72.svg	gaiji/AC72.svg
E11B.svg	叟
B37D.svg	ς
DD4E.svg	gaiji/DD4E.svg
AD61.svg	𣏾
AF57.svg	⺗
AC38.svg	gaiji/AC38.svg
AD56.svg	𬮆
A847.svg	𦆠
E222.svg	鬘
chou.svg	脁
B879.svg	㺭
AC65.svg	gaiji/AC65.svg
AC66.svg	gaiji/AC66.svg
B637.svg	䰳
B638.svg	𩸎
E058.svg	徽
B258.svg	𭸻
B632.svg	垿
E1BD.svg	臈
A761.svg	𣠽
A76A.svg	顖
B54A.svg	⑴
B54B.svg	⑵
B924.svg	gaiji/B924.svg
B446.svg	裪
AB6D.svg	gaiji/AB6D.svg
AA38.svg	鴙
AE2C.svg	䴏
AD79.svg	gaiji/AD79.svg
AD7A.svg	萡
AD78.svg	𠷏
AE50.svg	炲
6FC9.svg	濉
B177.svg	gaiji/B177.svg
AE5A.svg	゛
B532.svg	∘∘
B531.svg	....
E0DF.svg	誹
AE4F.svg	嘋
AF58.svg	⺩
AA3B.svg	騺
DD4F.svg	gaiji/DD4F.svg
DD48.svg	疍
AE36.svg	gaiji/AE36.svg
AE2F.svg	𢷡
AE3F.svg	gaiji/AE3F.svg
AE3C.svg	𡱖
AE3B.svg	𦿔
DD4A.svg	敾
B651.svg	ϑ
E535.svg	<strike>(</strike>
E536.svg	<strike>)</strike>
A94B.svg	𣔺
B04E.svg	㯓
E1EA.svg	譏
E210.svg	鞏
AF2F.svg	gaiji/AF2F.svg
B925.svg	gaiji/B925.svg
DC62.svg	gaiji/DC62.svg
DD46.svg	楑
AE46.svg	𬝟
B05A.svg	䠸
B05B.svg	㴔
B56C.svg	你
AE49.svg	𪡡
B621.svg	gaiji/B621.svg
AE4A.svg	繀
B375.svg	𩊠
B061.svg	gaiji/B061.svg
AE4D.svg	鏂
AA40.svg	𦀌
A16A.svg	F
B33B.svg	gaiji/B33B.svg
AE6D.svg	gaiji/AE6D.svg
B557.svg	－－
A82B.svg	𤭯
AE78.svg	挮
DD4D.svg	职
B434.svg	粬
AA4E.svg	𨰃
AE77.svg	𥻨
AC64.svg	gaiji/AC64.svg
